name,tags,score,lat,lon
Коптилов,"['Магазин мяса, колбас']","4,4",38.20393,54.850635
Мясницкий ряд,"['Магазин мяса, колбас']","4,3",38.082639,54.886227
Подмосковный фермер,['Магазин продуктов'],"4,1",38.247685,54.837838
Куриный дом,"['Магазин мяса, колбас', 'яйцо и мясо птицы']","4,3",38.192398,54.837892
Куриный дом,"['Магазин мяса, колбас', 'магазин продуктов']","4,3",38.062262,54.887987
У Ксюши,['Магазин продуктов'],"4,1",38.051582,54.855622
Абсент-маркет,['Магазин продуктов'],"4,1",38.054958,54.887591
Окраина вкуснее,['Магазин продуктов'],"4,2",38.055009,54.881225
Вкус Маркет,['Магазин продуктов'],"4,2",38.267708,54.792792
Куриный дом,['Магазин продуктов'],"4,0",38.085747,54.889779
Продукты,['Магазин продуктов'],"4,0",38.088646,54.896239
Караван,['Магазин продуктов'],"3,8",38.068209,54.879327
Магазин № 15,['Магазин продуктов'],"3,7",38.181146,54.845291
Ермолино,['Магазин продуктов'],"3,6",38.070175,54.89159
Мясо Микс,"['Магазин мяса, колбас', 'магазин продуктов']","4,2",38.120879,54.870893
Ozon,['Пункт выдачи'],"4,9",38.087234,54.888684
Магнит,['Магазин продуктов'],"3,9",38.085073,54.886823
Чижик,,"4,3",38.156101,54.827008
Простор,['Магазин продуктов'],"3,9",38.119972,54.87197
Мясо,"['Магазин мяса, колбас']","4,4",38.148261,54.825936
Авокадо,['Магазин продуктов'],"4,2",38.282578,54.827686
Ozon,['Пункт выдачи'],"4,6",38.063577,54.891256
Магазин № 1,['Магазин продуктов'],"4,2",38.079024,54.888973
Продукты,['Магазин продуктов'],"4,1",38.164422,54.897661
Май,['Магазин продуктов'],"3,9",38.06592,54.888629
Магазин Продукты,['Магазин продуктов'],"3,8",38.172085,54.849796
Фаворит,['Магазин продуктов'],"4,1",38.261585,54.794477
Продукты,['Магазин продуктов'],"4,3",38.24525,54.845601
Рыба Мясо,"['Магазин рыбы и морепродуктов', 'молочный магазин']","4,1",38.192641,54.837944
Продукты,['Магазин продуктов'],"4,0",38.244005,54.840566
Чай & Кофе,['Магазин продуктов'],"4,0",38.062817,54.887165
Магнит,['Магазин продуктов'],"4,1",38.254222,54.790589
Продукты,['Магазин продуктов'],"4,0",38.27334,54.801315
Озёрский сувенир,['Магазин продуктов'],"3,8",38.068552,54.888291
Лужок,['Магазин продуктов'],"3,2",38.094424,54.843276
Фермер,['Магазин продуктов'],"3,6",38.067619,54.879763
Пятёрочка,,"4,2",38.262103,54.794346
Продукты,['Магазин продуктов'],"3,9",38.250731,54.808913
Продуктовый дискаунт,,"4,2",38.0731,54.90051
Рыбная лавка,"['Магазин рыбы и морепродуктов', 'магазин продуктов']","4,5",38.074045,54.896721
Европейская булочная,['Кондитерская'],"4,4",38.086627,54.888027
Булочная 58,"['Пекарня', 'магазин продуктов']","4,7",38.0538,54.885433
Магнит,['Магазин продуктов'],"4,3",38.192584,54.855745
Спутник,['Магазин продуктов'],"4,3",38.151172,54.836539
Ozon,['Пункт выдачи'],"4,4",38.073584,54.887352
Ozon,['Пункт выдачи'],"4,4",38.079001,54.893539
Катюша,['Магазин продуктов'],"4,2",38.065777,54.887185
Мясницкий ряд,"['Магазин мяса, колбас']","4,2",38.085757,54.88982
Фирменный магазин Агрокультура Групп,['Овощи и фрукты оптом'],"5,0",38.295893,54.829627
Авокадо,['Магазин продуктов'],"3,6",38.09906,54.890707
Продукты,['Магазин продуктов'],"4,1",38.030801,54.817772
Белорусские продукты,['Магазин продуктов'],"4,2",38.068633,54.888846
Раменский Деликатес,"['Магазин мяса, колбас']","4,1",38.058506,54.885184
Мясо,"['Магазин мяса, колбас']","4,3",38.064133,54.80823
Куриный дом,['Магазин продуктов'],"4,1",38.245898,54.843363
Продукты,"['Магазин хозтоваров и бытовой химии', 'магазин продуктов']","4,1",38.250269,54.848935
Магазин продуктов,['Магазин продуктов'],"3,6",38.085504,54.899893
Продукты,['Магазин продуктов'],"4,0",38.274227,54.801522
Пятёрочка,,"4,2",38.279671,54.797296
Куриный дом,['Магазин продуктов'],"3,8",38.06735,54.889946
Авокадо,['Магазин продуктов'],"3,6",38.068955,54.886402
Пятёрочка,,"4,1",38.062667,54.879605
Центральный,,"4,2",38.267628,54.793137
Магазин продуктов,['Магазин продуктов'],"4,0",38.297371,54.796228
Авокадо,['Магазин продуктов'],"3,6",38.09906,54.890707
Мясницкий ряд,"['Магазин мяса, колбас']","4,0",38.068533,54.888368
Продукты,['Магазин продуктов'],"4,1",38.030801,54.817772
Лужок,['Магазин продуктов'],"3,2",38.094424,54.843276
Фермер,['Магазин продуктов'],"3,6",38.067619,54.879763
Пятёрочка,,"4,2",38.262103,54.794346
Продукты,['Магазин продуктов'],"3,9",38.250731,54.808913
Продуктовый дискаунт,,"4,2",38.0731,54.90051
Магазин продуктов,['Магазин продуктов'],"3,6",38.085504,54.899893
Продукты,['Магазин продуктов'],"4,0",38.274227,54.801522
Авокадо,['Магазин продуктов'],"3,9",38.040332,54.936757
Пятёрочка,,"4,2",38.279671,54.797296
Куриный дом,['Магазин продуктов'],"3,8",38.06735,54.889946
